NAME,SUBSCRIPTION,RESOURCE GROUP,LOCATION,STATUS,OPERATING SYSTEM,SIZE,PUBLIC IP ADDRESS,VIRTUAL NETWORK,PRIVATE IP ADDRESS,RESOURCE LINK
"AEUNAD-01PV","Microsoft Azure - CSP - FirstOption","AZ-Authentication","UAE North","Running","Windows","Standard_B4ms"," -","AZ-Authentication-vnet","10.12.1.5","https://portal.azure.com#resource/subscriptions/80e7f6d9-c35c-4b68-8b38-cf4ac6b0c84f/resourceGroups/AZ-Authentication/providers/Microsoft.Compute/virtualMachines/AEUNAD-01PV"
"AEUNCFZTNA-01PV","Microsoft Azure - CSP - FirstOption","AZ-Finance","UAE North","Running","Linux","Standard_DS1_v2","20.74.220.99","Az-Finance-vnet","10.16.5.4","https://portal.azure.com#resource/subscriptions/80e7f6d9-c35c-4b68-8b38-cf4ac6b0c84f/resourceGroups/AZ-Finance/providers/Microsoft.Compute/virtualMachines/AEUNCFZTNA-01PV"
"AEUNCWDSIEM-01PV","Microsoft Azure - CSP - FirstOption","AZ-Authentication","UAE North","Running","Linux","Standard_B2as_v2"," -","AZ-Authentication-vnet","10.12.6.4","https://portal.azure.com#resource/subscriptions/80e7f6d9-c35c-4b68-8b38-cf4ac6b0c84f/resourceGroups/AZ-Authentication/providers/Microsoft.Compute/virtualMachines/AEUNCWDSIEM-01PV"
"AEUNMSDB-01PV","Microsoft Azure - CSP - FirstOption","AZ-Finance","UAE North","Running","Windows","Standard_DS3_v2","20.74.188.75","Az-Finance-vnet","10.16.1.4","https://portal.azure.com#resource/subscriptions/80e7f6d9-c35c-4b68-8b38-cf4ac6b0c84f/resourceGroups/AZ-Finance/providers/Microsoft.Compute/virtualMachines/AEUNMSDB-01PV"
"AEUNMSDB-02PV","Microsoft Azure - CSP - FirstOption","AZ-FINANCE","UAE North","Running","Windows","Standard_DS12_v2","20.203.27.123","Az-Finance-vnet","10.16.4.4","https://portal.azure.com#resource/subscriptions/80e7f6d9-c35c-4b68-8b38-cf4ac6b0c84f/resourceGroups/AZ-FINANCE/providers/Microsoft.Compute/virtualMachines/AEUNMSDB-02PV"
"AEUNMSDB-03PV","Microsoft Azure - CSP - FirstOption","AZ-FINANCE","UAE North","Running","Windows","Standard_D2ds_v5"," -","Az-Finance-vnet","10.16.2.4","https://portal.azure.com#resource/subscriptions/80e7f6d9-c35c-4b68-8b38-cf4ac6b0c84f/resourceGroups/AZ-FINANCE/providers/Microsoft.Compute/virtualMachines/AEUNMSDB-03PV"
"AEUNTALLY-01PV","Microsoft Azure - CSP - FirstOption","AZ-FINANCEPRODUCTION","UAE North","Running","Windows","Standard_D2s_v3"," -","Az-Finance-vnet","10.16.3.4","https://portal.azure.com#resource/subscriptions/80e7f6d9-c35c-4b68-8b38-cf4ac6b0c84f/resourceGroups/AZ-FINANCEPRODUCTION/providers/Microsoft.Compute/virtualMachines/AEUNTALLY-01PV"
"ControlDB","Microsoft Azure - CSP - FirstOption","ControlDB_group","East US 2","Stopped (deallocated)","Windows","Standard_D4s_v3","13.68.17.133","vnet-eastus2production","10.5.6.5","https://portal.azure.com#resource/subscriptions/80e7f6d9-c35c-4b68-8b38-cf4ac6b0c84f/resourceGroups/ControlDB_group/providers/Microsoft.Compute/virtualMachines/ControlDB"
"DC-DB","Microsoft Azure - CSP - FirstOption","digiphotostudio-prod","West Europe","Stopped (deallocated)","Windows","Standard_A4_v2","40.68.83.147","digiphoto-prod-network","172.16.10.41","https://portal.azure.com#resource/subscriptions/80e7f6d9-c35c-4b68-8b38-cf4ac6b0c84f/resourceGroups/digiphotostudio-prod/providers/Microsoft.Compute/virtualMachines/DC-DB"
"DC-WEB","Microsoft Azure - CSP - FirstOption","DIGIPHOTOSTUDIO-PROD","West Europe","Stopped (deallocated)","Windows","Standard_A4_v2","23.97.206.37","digiphoto-prod-network","172.16.10.40","https://portal.azure.com#resource/subscriptions/80e7f6d9-c35c-4b68-8b38-cf4ac6b0c84f/resourceGroups/DIGIPHOTOSTUDIO-PROD/providers/Microsoft.Compute/virtualMachines/DC-WEB"
"INAWIAD-01PV","Microsoft Azure - CSP - FirstOption","AZ-AUTHENTICATION","West India","Running","Windows","Standard_D4s_v3"," -","AZ-INAuthentication-vnet","10.12.17.5","https://portal.azure.com#resource/subscriptions/80e7f6d9-c35c-4b68-8b38-cf4ac6b0c84f/resourceGroups/AZ-AUTHENTICATION/providers/Microsoft.Compute/virtualMachines/INAWIAD-01PV"
